"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-27837L","Lead Agency - 2020","kontrola","Ústav informatiky AV ČR, v.v.i.",,"městské klima;klimatická změna;model PALM-4U;numerické modelování;adaptace měst;large-eddy simulace",3,"Využití nové generace klimatických large-eddy simulací v PALM na úrovni ulic při studiu klimatických změn v českých a rakouských městech"
"20-27844S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","biogenní přechodné kovy;protinádorová aktivita;mechanizmus účinku;multimodální efekt;",3,"Protinádorově účinné komplexy biogenních přechodných kovů s multimodálním účinkem"
"20-27859S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav teorie informace a automatizace AV ČR, v.v.i.",,"dynamické rozhodování;neurčitost;pravděpodobnostní návrh;rozhodovací strategie;získávání znalostí;získávání cílů;",3,"Získávání pravděpodobnostních představ a cílů pro dynamické rozhodování"
"20-27871S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta strojní","Náboj kapek;Rozpad vodních filmů;Transoncké proudění; Počítačové vidění;",3,"Studium elektrostatického náboje kapek při aerodynamickém rozpadu vodních filmů"
"20-27892J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","České vysoké učení technické v Praze","Ústav technické a experimentální fyziky ČVUT","jaderné; reakce; hmotnostní separátor; kryogenní plynový kolektor; supertěžký prvky; TIMEPIX;",3,"VLASTNOSTI TĚŽKÝCH A SUPERTĚŽKÝCH PRVKŮ STUDOVANÝCH HMOTNOSTNÍ SPEKTROSKOPIÍ A METODOU ISOL"
"20-27902J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Prvek fraktálního řádu;RC-EDP;MOS;řiditelnost",3,"Základní výzkum návrhu a realizace rozprostřených rezistivně-kapacitních prvků s fraktální impedancí"
"20-27918J","Mezinárodní projekty – 2020","Oborová komise lékařských a biologických věd","Fyziologický ústav AV ČR, v.v.i.",,"mitochondrie;oxidační fosforylace;OXPHOS;cytochrom c oxidáza;komplex I;asemblace;biogeneze;CRISPR/Cas9 knock-out",3,"Úloha cytochrom c oxidázy v biogenezi mitochondriálního OXPHOS aparátu"
"20-27925S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"klíště;virus klíšťové encefalitidy;zoonóza;arbovirus;vektor;Ixodes ricinus;Ixodes hexagonus;Ixodes scapularis;ogranotypické kultury ex-vivo;SBF-SEM",3,"Virus klíšťové encefalitidy - zaostřeno na interakce virus-vektor"
"20-27941Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Středoevropský technologický institut","Laboratoř na čipu;terénní diagnostika;mikrofluidika;infekční onemocnění;polymerázová řetězová reakce;reverzní transkripce;izotermická amplifikace zprostředkovaná smyčkou;",3,"Laboratoř na čipu cílená pro klinickou diagnostiku"
"20-27956S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Výzkumný ústav veterinárního lékařství, v.v.i.",,"PCMV; PRRSV; Haemophilus parasuis; makrofágy; dendritické buňky",3,"Je porcinní cytomegalovirus imunosupresivní patogen?"
"20-27960J","Mezinárodní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta elektrotechnická","otěr;tření;mikroskopie atomárních sil;nanoindentace;molekulární dynamika;multiscale simulace",3,"Otěr 2D a 3D materiálů v nanoměřítku"
"20-27973L","Lead Agency - 2020","kontrola","Veterinární a farmaceutická univerzita Brno","CEITEC - Středoevropský technologický institut, VFU Brno","Felidae;přirozená imunita;geny;receptory NK buněk;evoluce;domácí kočky",3,"Charakteristika vybraných genů přirozené imunity u domácích a divoce žijících koček"
"20-27987S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Ad-hoc sítě;pravděpodobnostní modely;retransmise;algoritmy přiřazování prostředků;časové řady;Gaussovské procesy;milimetrové vlny;spolehlivost",3,"Vysoce spolehlivé automobilové ad-hoc sítě"
"20-28017S","Standardní projekty – 2020","Oborová komise technických věd","Ústav jaderné fyziky AV ČR, v.v.i.",,"radiační poškození; fúzní materiály; iontové ozáření; wolfram; kompozity; vysokoentropické;;;",3,"Radiační poškození v materiálech pro fúzní aplikace"
"20-28038S","Standardní projekty – 2020","Oborová komise technických věd","Ústav teorie informace a automatizace AV ČR, v.v.i.",,"bayesovské neparametrické metody;entropie zdroje;kapacita kanálu;kvantizace;spolehllivá komunikace;synchronizace",3,"Robustní komunikace s využitím bayesovskych neparametrickych metod"
"20-28040S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta mezinárodních vztahů","Devizové intervence;rozvíjející se ekonomika;řízený_devizový_kurz;zahraniční půjčky;omezení zajištění;měnová politika",3,"Devizové intervence jako dodatečný nástroj měnové politiky v rozvíjející se otevřené ekonomice s omezením zajištění na zahraniční půjčky"
"20-28064S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Pedagogická fakulta","sociální participace;adolescenti;prediktivní faktory;porucha sluchu;porucha zraku;tělesné postižení;mentální postižení;",2,"Prediktivní faktory sociální participace adolescentů se zdravotním postižením v ČR z intersekcionální perspektivy"
"20-28086J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta technologie ochrany prostředí","deoxygenace;mastné kyseliny;fenoly;inhibiční efekty;pyrolýzní oleje;aktivovaný kal;NiMo katalyzátory;",3,"Současná deoxygenace kyselin a fenolů v pyrolýzních olejích z aktivovaných kalů"
"20-28103Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Středoevropský technologický institut","hydrazonový přepínač;magnetická bistabilita;komplexy kovů",3,"Magneticky bistabilní molekulární materiály obsahující hydrazonové přepínače"
"20-28142Y","Juniorské projekty – 2020","Oborová komise společenských a humanitních věd","Masarykův ústav a Archiv AV ČR, v.v.i.",,"komparativní dějiny;sociální dějiny;kulturní dějiny;sociální prostory;kavárny;pivnice;vinárny;Budapešť;Praha",3,"Místa společenského života. Pivnice a kavárny v Praze a Budapešti, 1880 - c. 1930"
"20-28174S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta elektrotechnická","hustá bezdrátová komunikační síť;síťové kódování fyzické vrstvy;distribuované kódování a zpracování signálu;;;;;",3,"Husté a transparentní bezdrátové cloudové kódované sítě"
"20-28188L","Lead Agency - 2020","kontrola","Ústav informatiky AV ČR, v.v.i.",,"synchronizace;elektroencefalogram;shlukování časových řad;Grangerova kauzalita;složité sítě;konvoluční neuronové sítě;strojové učení;predikce účinnosti antidepresiv",3,"Struktury synchronizace v mnohorozměrných neurálních signálech: strojové učení a predikce účinnosti antidepresiv"
"20-28190Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","reaktivní formy kyslíku;oxidativní stres;oxidativní poškození;elektronová paramagnetická rezonanční spektroskopie;biosenzory;čipové zařízení;amperometrie;lipozomy;antioxidanty",3,"Biosenzory pro charakterizaci tvorby reaktivních forem kyslíku: oxidativní poškození a lipozomy zprostředkovaná prevence"
"20-28220S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta stavební","dřevěná konstrukce; dřevo; spoj; konstrukční detail; teplota; vlhkost; MKP; materiálový model; zatížení",3,"Komplexní analýza chování dřevěných konstrukčních prvků v nepříznivých statických a teplotně-vlhkostních podmínkách"
"20-28249J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Pedagogická fakulta","Lidský kapitál;management;vzdělávání;trh práce;digitalizace;smart vzdělávání;nové vzdělávací technologie;Česká republika;Ruská federace",3,"Transformace systému řízení lidského kapitálu a trendy rozvoje v oblasti vzdělávání v podmínkách digitalizace."
"20-28254S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Filosofický ústav AV ČR, v.v.i.",,"raná fenomenologie;britský empirismus;dějiny filosofie;novověká filosofie;Franz Brentano;Edmund Husserl;Alexius Meinong;Theodor Lipps;Paul Linke;Adolf Reinach;Christopher Salmon;John Locke;George Berkeley,David Hume;Jeremy Bentham;John Stuart Mill",3,"Raná fenomenologie a britský empirismus"
"20-28277S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta životního prostředí","larvální morfologie;potravní specializace;rodová fylogeneze;Silphidae;Silphinae;mrchožrouti;",3,"Evoluce potravních preferencí u nekrofágních brouků"
"20-28283S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Národohospodářský ústav AV ČR, v.v.i.",,"Teorie her; behaviorální ekonomie; distribuční spravedlnost;;",3,"Preference a  normy distributivní spravedlnosti"
"20-28296S","Standardní projekty – 2020","Oborová komise technických věd","Ústav přístrojové techniky AV ČR, v.v.i.",,"optické chytání; Ramanova pinzeta; bakterie; stres; mikrofluidika",3,"Mikrofluidní systém s Ramanovou pinzetou k identifikaci a manipulaci jednotlivých buněk"
"20-28462J","Mezinárodní projekty – 2020","Oborová komise lékařských a biologických věd","Fakultní nemocnice Hradec Králové",,"takrin;indol;melatonin;chinon reduktáza 2;antioxidační aktivita;multipotentní sloučeniny;neurodegenerace",3,"Konjugáty na bázi indolu jako multifunkční léčiva v léčbě neurodegenerace"
"20-28470S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Česká zemědělská univerzita v Praze","Fakulta životního prostředí","Středověk;kolonizace;osídlení;zemědělství;hospodářské strategie;impakt;hnojení;geochemie;GIS;XRF;ICP; vývoj krajiny;vnímání krajiny;znalosti;zkušenosti;technologie",3,"Prostorová identifikace zemědělských aktivit v okolí zaniklých sídlišť – pohled pedologie a pedochemie"
"20-28491S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta stavební","Grafen; kov; tenké vrstvy; povrchová teplota; kondenzace; vodní pára; plíseň; stavební",3,"Analýza použití Grafenu a tenkých kovových vrstev ke zvýšení teploty, eliminace kondenzace a růstu plísní na vnitřním povrchu konstrukcí budov"
"20-28518Y","Juniorské projekty – 2020","Oborová komise společenských a humanitních věd","Metropolitní univerzita Praha, o.p.s.",,"Frontex;Západní Balkán;ochrana vnější hranice EU;Schengenský systém;migrace;lokální komunity",3,"Dopad migrační krize (2015 - 2019) na místní komunity v oblasti Západního Balkánu in kontextu externalizace ochrany vnější hranice EU"
"20-28539S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","3. lékařská fakulta","nekódující RNA;stres;triplex; glukokortikoidu; kortizolu",3,"Stresový RNAom - jeho transkripce, transdukce a přenos."
"20-28541S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Česká zemědělská univerzita v Praze","Provozně ekonomická fakulta","Municipalita; samospráva; demokracie; ohrožení/paralýza; rozvoj-municipalit; kriticky-zadlužená-obec; stav-místní-demokracie; komunální-volby; mimořádné-volby; místní-referendum; legislativa.",3,"Paralyzované místní samosprávy v České republice"
"20-28556J","Mezinárodní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta strojní","fretting;únavová pevnost;multiaxiální únava;gradient napětí;vliv střední hodnoty napětí",3,"Lokální přístup k odhadu multiaxiální únavové pevnosti za podmínek kontaktu"
"20-28594S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Historický ústav AV ČR, v.v.i.",,"Praha; Pražský hrad; Rezidence; paláce; profánní architektura; české země; dvůr; středověk;",3,"Praha, rezidence českých knížat a králů v době předhusitské"
"20-28600J","Mezinárodní projekty – 2020","Oborová komise lékařských a biologických věd","České vysoké učení technické v Praze","Fakulta biomedicínského inženýrství","Disperze repolarizace;epikardiální mapování;intramurální svody;EKG;ischemie myokardu;arytmogeneze;tepová frekvence",3,"Manifestace disperze repolarizace na povrchovém EKG: hodnocení dynamických změn"
"20-28616S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Středoevropský technologický institut","Aditivní výroba; litografie; 3D tisk; fotopolymer; keramika; reologie; design",3,"Pokročilá keramika pro environmentální katalýzu připravená 3D stereolitografií"
"20-28628Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav biologie obratlovců AV ČR, v.v.i.",,"rodičovské efekty; stárnutí; životní strategie; telomery; anuální halančík; Nothobranchius; model",3,"Vliv rodičovského stárnutí na úspěšnost potomstva"
"20-28637S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Fakulta sociálních studií","reliabilita;chyba měření;validita;specifikace modelu;model měření;reliabilita založená na modelu;teorie odpovědi na položku;faktorová analýza;",3,"Reliabilita měření v psychologii: Nové perspektivy"
"20-28644S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Palackého v Olomouci","Filozofická fakulta","Československý film;;; holokaust;;; reprezentace holokaustu ve filmu;;; film a historie",3,"Psaní a natáčení historie: Reprezentace holokaustu v československém filmu 1949-1985"
"20-28659J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta materiálově-technologická","magneticky tvrdé materiály;magnety Nd-Fe-B;magnety Sm-Co;kovy vzácných zemin;nano-strukturovaný stav;koercivita;mechanismus koercivity;magnetická anizotropie;přechod spinové reorientace;mikrostruktura;hydrogenované sloučeniny KVZ",3,"Vývoj vědeckých základů formování nanostrukturovaných magneticky tvrdých materiálů na bázi Nd(R)-Fe-B (R = Pr, Tb, Gd) a (Sm, Gd, Zr)-Co-Fe-Cu"
"20-28663S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Přírodovědecká fakulta","Pipidae; evoluce; chromozóm; cytogenetika; FISH",3,"Evoluční dynamika chromozomálních přestaveb a identifikace pohlavních chromozómů v rámci čeledi žab Pipovití."
"20-28671J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta bezpečnostního inženýrství","bezpečnost;industriální města;komparativní analýza",3,"Bezpečnost prostředí  průmyslových měst: komparativní analýza Ruské federace a České republiky"
"20-28713S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta elektrotechniky a informatiky","hluboké učení;rekurentní neuronové sítě;evoluční algoritmy;vícekriteriální optimalizace;clustering;časové řady;neuronová plasticita;diverzita;strojové učení",3,"Nové neurodynamické strategie a efektivní architektury pro rekurentní neuronové sítě"
"20-28721S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Fyzikální ústav AV ČR, v.v.i.",,"laser;plasma;urychlení iontů;kryogenní terče;generace neutronů",3,"Výzkum nových experimentálních režimů pro generací laserem urychlovaných paprsku protonu a neutronu s využitím kryogenních terčů"
"20-28745S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Mendelova univerzita v Brně","Agronomická fakulta","nanozym;senzor;biosenzor;enzymová aktivita;nanomateriály;",3,"Využití nanozymů s fosfatázovou a lakázovou aktivitou pro konstrukci senzorů/biosenzorů"
"20-28750S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","axiální chiralita;atropoizomerie;asymetrická katalýza;heterocyklické sloučeniny",3,"Axiálně chirální sloučeniny s omezenou otáčivostí C-N vazby"
"20-28778J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyziky materiálů AV ČR, v.v.i.",,"Nanoprášky;kontrastní látky;dodávání léčiv;CeO2;Gd2O3;SiO2;nanostříbro",3,"Příprava nanoprášků, jako systémů pro podávání léčiv a i jako léčiva samotná, pulzním elektronovým svazkem při nízkém tlaku plynu"
"20-28784Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","Strigolaktony;strigolaktonová mimetika a analoga;parasitické rostliny;sebevražedné klíčení;Striga;
Orobanche",3,"Látky pro sebevražedné klíčení parazitických rostlin."
"20-28797S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Středoevropský technologický institut","Feroelektrické; fotovoltaika; tenká vrstva; prášek; dopování; přechodné materiály",3,"Nové přístupy v konverzi sluneční energie: feroelektrické fotovoltaické materiály s laditelným pásem zakázaných energií"
"20-28807S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Jihočeská univerzita v Českých Budějovicích","Teologická fakulta","řád benediktinů;klášter;opat;řeholní komunita;nacionalismus;identita;Češi;Němci;Československo;Říšská župa Sudety;Broumovsko;pozemková reforma;liturgické hnutí;pastorace",3,"Benediktinský klášter v Broumově mezi nacionalismem českým a německým (1926−1946)"
"20-28811J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Středoevropský technologický institut","přechodné kovy;slabá výměnná interakce;paramagnetické molekuly;ESR",3,"Molekulární kvantové bity na bázi principu atomových hodin a provázanými fázemi"
"20-28824J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Jističe;plazmový hořák;jevy nestability a turbulence;elektromagnetické jevy;radiační přenos energie;",3,"Studium jevů nestability a analýza stupně turbulence a vlivu na procesy přenosu tepla v intenzivních tocích plazmatu"
"20-28869S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Masarykova univerzita","Středoevropský technologický institut","Syntetická letalita;CRISPR/Cas9;CLL;celogenomový screening;cílená terapie",3,"Analýza synteticky letálních interakcí na modelu chronické lymfocytární leukémie pomocí CRISPR/Cas9 screeningu"
"20-28882S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Kloknerův ústav","Výztuž; vlákna; optimalizace; UHPC; technologie 3D tisku",3,"Optimalizace rozmístění a orientace výztuže pomocí technologie 3D tisku v ultra-vysokohodnotném betonu (UHPC)"
"20-28895J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","časové instituce;časové pásmo;letní čas;srovnávací analýza;využití času;zdraví",3,"Optimální časové instituce"
"20-28905S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"AKH; pesticidy; včela; intoxikace",2,"Využití adipokinetického hormonu jako biomarkeru intoxikací pesticidy u včely medonosné: využití pro základní a zemědělský výzkum"
"20-28933S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Masarykova univerzita","Středoevropský technologický institut","ADAR; RNA modifikace; editace RNA; dsRNA; Inosin; neurodegenerace; myší genetika; Drosophila",3,"Genetické modely pro studium mozkových funkcí"
"20-28946S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Botanický ústav AV ČR, v. v. i.",,"klimatická změna; sucho; požár; les; sukcese; vegetační model; disturbance; kořenová architektura;hydrodynamika půdy-rostliny;vegetace",3,"Vliv přibývajícího sucha a požárů na středoevropské přírodě blízké lesy"
"20-28951X","EXPRO - 2020","EXPRO","Fyzikální ústav AV ČR, v.v.i.",,"scintilátor;luminiscence;přenos energie;záchytné stavy;bodové defekty;elektronová pásová struktura;",5,"""Botttom-up"" strategie návrhu a kritická místa pokročilých scintilačních materiálů"
"20-28967L","Lead Agency - 2020","kontrola","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta elektrotechniky a informatiky","Distribuce kvantového klíče;kryptografie;Kvantové sítě;Virtualizace;Kybernetická bezpečnost",3,"Síť virtualizované distribuce kvantového klíče (VIQKDNET)"
"20-28998S","Standardní projekty – 2020","Oborová komise technických věd","Ústav geoniky AV ČR, v.v.i.",,"smektity;fyzikálně-chemické vlastnosti;mechanické vlastnosti;materiálové charakteristiky",3,"Smektity a strukturně podobné minerály – přednosti a limity při použití v geotechnice"
"20-29013S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","ropa; zásoba; vysoké frekvence; reálné dopady; investice; ESG; indexové obchodování; ETF; financializace;",3,"Reálné dopady finančních trhů"
"20-29021S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geologický ústav AV ČR, v.v.i.",,"anizotropie;magnetická susceptibilita;anhysterézní remanentní magnetizace;rock-magnetismus",3,"Vztah mezi anizotropií magnetické susceptibility a anizotropií anhysterézní remanentní magnetizace v různých plasticky deformovaných horninách"
"20-29032Y","Juniorské projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta elektrotechnická","Nanodiamant;fotovoltaika;teorie funkcionálu hustoty;Zelená energie",3,"Počítačové modelování nanostrukturní architektury materiálů pro fotovoltaiku"
"20-29045S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav experimentální botaniky AV ČR, v.v.i.",,"Nekonvenční sekrece proteinů;pyl;vedení pylových láček;mezibuněčná komunikace;nanovezikuly;translačně regulovaný nádorový protein;Arabidopsis thaliana;Nicotiana tabacum",3,"Jaké jsou mechanismy fungování TCTP (Translationally Controlled Tumor Protein), pylově specifického programátoru vedení pylové láčky?"
"20-29050S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geofyzikální ústav AV ČR, v.v.i.",,"kontinentální rift; analogový model; tektonika; extenze; vrásnění; litosféra; Český masív; terciér",3,"Modelování vývoje východní části oherského riftu: vlivy struktur podloží, změn napětí a litosférického vrásnění"
"20-29066S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav jaderné fyziky AV ČR, v.v.i.",,"neporuchová-QCD; Schwingerovy-Dysonovy-rovnice; Mezony; Axiální-anomálie; EMG-form-faktor; přechodov-mezonový-formfaktor",3,"Mesonové formfaktory ve funkcionálním formalismu QCD v Minkowském prostroru"
"20-29078S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Česká geologická služba",,"Subdukce; Exhumace; Metamorfóza; Geochronologie; Geochemie; Mikrostrukturní stavba",3,"Vznik a vývoj saxothuringické subdukční zóny v severní části Českého masivu"
"20-29084S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta stavební","Ekologicky efektivní cement;dotvarování;smršťování;dlouhodobý experiment;identifikace",3,"Dlouhodobé chování betonu z inovativního ekologicky efektivního cementu LC3"
"20-29097X","EXPRO - 2020","EXPRO","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","mezinárodní migrace;determinanty migrace;dopady migrace;změny životního prostředí;ekonometrická analýza;rodiny migrantů",5,"Příčiny a důsledky mezinárodní migrace pro sociální a ekonomické systémy"
"20-29107X","EXPRO - 2020","EXPRO","Masarykova univerzita","Středoevropský technologický institut","CAR-T lymfocyty;CRISPR/Cas9;celogenomový screening;CLL",5,"Výzkum genetických determinant zlepšujících účinnost CAR-T lymfocytů"
"20-29130Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav výzkumu globální změny AV ČR, v. v. i.",,"dálkový průzkum Země;hrubá primární produkce;MODIS;model účinnosti;eddykovariance;rozdělení toků;časově-prostorové modelování;",3,"Ohodnocení a zlepšení globálních odhadů produkce ekosystémů pro regionální podmínky České republiky pomocí identifikace hlavních zdrojů nejistot"
"20-29148S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta elektrotechnická","Akustika;prostorová akustika;difuzory;akustický komfort;učební prostory",3,"Akustika nové generace prostředí pro výuku"
"20-29169Y","Juniorské projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta chemicko-inženýrská","pokročilé materiály; teplotní rezponzivita; hyperrozvětvený; polymery; rouby; hierarchické povrchy; biokompatibilita",3,"Syntéza, charakterizace a in vitro biokompatibilita teplotně responzivních hyperrozvětvených polymerů a hyperrozvětvených roubů"
"20-29176J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Bezpilotní letoun;kooperativní komunikace;dobíjecí strategie;flotila dronů;heuristické algoritmy;kolektivní inteligence;krizové aplikace;řízení mobility",3,"Vývoj matematických modelů a algoritmů pro energeticky optimalizované řízení mobilty UAV sítí v krizových aplikacích"
"20-29182S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Pedagogická fakulta","Lingvistická krajina; vývěska; bilingvismus; multilingvismus; varieta; doména; lingua franca",3,"Lingvistická krajina ve třech regionech České repubiky: Víceaspektový pohled"
"20-29195Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Středoevropský technologický institut","TMDCs;magneto-optická spektroskopie;Landauovy hladiny",3,"Kvantizace Landauových hladin dichalkogenidů přechodných kovů (TMDCs): Z objemového materiálu k nanostrukturám"
"20-29202J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","5G+;Extrémně nízká odezva;Návrh sítí;Network 2030;Taktilní internet",3,"Výzkum principů návrhu 5G+ sítí s extrémně nízkou odezvou"
"20-29218S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Syntetický substrát;charakterizace materialů;ekvivalentní permitivita;3D tisk;vysokofrekvenční zářič",3,"Vysokofrekvenční syntetické elektromagnetické struktury"
"20-29225S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta životního prostředí","bobr; predace; behaviorální odezva; prostorové vzorce; teritorialita",3,"Variabilita potravních a prostorových nároků bobra pod predačním tlakem"
"20-29239Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"Půda; plastický;znečištění;biodegradace;mikroorganismy;ekologická toxicita;ekologické předpoklady;vlastnosti půdy;obsah uhlíku a dusíku;elementární složení;metagenom;metatranscriptome;Plastisphere",3,"Enigmatická interakce mikrobů a plastických hmot v půdě: Metagenomické a metatranscriptomické pohledy na dynamiku mikrobiálních komunit v Plastisphere"
"20-29241S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta elektrotechnická","tribolektrické nanogenerátory;získávání energie;dichalkogenidy přechodových kovů;tření;ab initio;molekulární dynamika;simulace",3,"Triboelektrické nanogenerátory pro nové environmentální zdroje energie"
"20-29256S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola sociálně správní, z.ú.",,"Společenská odpovědnost firem;udržitelný rozvoj;hospodářská politika;podnikové finance;ekonometrie;operační výzkum;makroekonomická analýza",3,"Společenská odpovědnost organizace: Srovnávací studie dopadů a politik"
"20-29273Y","Juniorské projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta elektrotechnická","Kochlea;kochleární zesilovač;Kochleární mikromechanika;kochleární makromechanika;Cortiho orgán;model kochley",3,"Model mikromechaniky a makromechaniky kochley"
"20-29287L","Lead Agency - 2020","kontrola","Česká zemědělská univerzita v Praze","Fakulta agrobiologie, potravinových a přírodních zdrojů","vitamíny;vitamery;jedlý hmyz;cvrček domácí;in-situ fortifikace",3,"Využitelnost a in-situ fortifikace vitamínů B u cvrčků domácích"
